Item,Translation,Context,Context translation
zapewnić,обеспечить,,
urządzenia,устройства,,
sprzęt,оборудование,может быть и про спортивное обородувание и про технику и тд,
sokowirówka,соковыжималка,,
blender,блендер,,
robot kuchenny,кухонный комбайн,,
deska do prasowania,гладильная доска,,
gust,вкус,,
właśnie,только что / точно / верно,,
czyli,то есть,,
jak,как,"Jak bedziesz w Krakowie, zadzwoń do nas.",
jakby,как,"Jakbyś była w Krakowie, zadzwoń do nas.",
jeśli,если,"Jeśli (jeżeli) masz ochote, możemy iść na kawę.",
jeśliby,если,"Jeślibyscie przyjechali do Krakowa, pokazalibyśmy wam Kazimierz.",
"chociaż, choć",хотя,,
natomiast,тогда как,,
"lecz, ale",но,,
więc,поэтому,,
ponieważ,поскольку / потому что,,
bowiem,так как,,
mimo,несмотря на,,
tędy,сюда,,
tamtędy,туда,,
zostawać,остаться,,
garnitur,костюм,,
krawat,галстук,,
rękawiczki,перчатки,,
czapka,шапка,,
kurtka,куртка,,
spodnie,брюки,,
skórzany,кожаный,,
w kropki,в горошек,,
wełna,шерсть,,
gruba,грубая,,
cienki,тонкий,,
nie stać mnie na,я не могу себе позволить,,
kasa,каса / деньги,nie mam kasy,не могу заплатить
trwonić,растрачивать,,
wydawać,тратить,,
ogólnie,вообще,,
opinia / zdanie,мнение,,
okoliczności,обстоятельства,,
szacunek,уважение,,
wreszcie,наконец,,
najwyższy i najgrubszy,самый высокий и самый толстый,,
chrupiący,хрустящий,,
sprzątać,убирать,,
podnieść słuchawkę,поднять трубку ,,
załatwić,уладить,,
należeć do,принадлежать к,,
bliźniak,близнец,,
urodziłem się,я родился,,
zwiedzać,посещать,,
wychodzić za mąż,выйти замуж,,
sufit,потолок,,
spiżarnia,кладовая,,
pokój dziecięcy,детская комната,,
korytarz,коридор,,
łazienka,ванная комната,,
twój wymarzony dom,дом вашей мечты,,
parter,первый этаж,,
piętro,этаж,,
przeprowadzka,переезд,,
gabinet,кабинет,,
toaleta,туалет,,
jadalnia,столовая,,
taras,терраса,,
przedpokój,прихожая,,
wybitna,выдающаяся,,
niezdecydowany,нерешительный,,
dziennikarz,журналист,,
pić mi się chce,хочется пить,,
samodzielny,самостоятельный,,
roztrzepany,рассеянный,,
smutny,грустный,,
mam to w dupie,мне плевать,,
gościu,незнакомец,,
ziomek,земляк,,
chodnik,тротуар,,
regał,стеллаж,,
na plaży,на пляже,,
łyżwy,коньки,,
narty,лыжи,,
w doniczce,в горшке,,
wady i zalety,минусы и плюсы,zalety - преимущества; wady - недостатки,
łatwy,легкий,,
uważam,я считаю / я думаю,,
wynagrodzenie,зарплата,,
połączyć,объединить,,
irytuje,раздражает,,
rządzić,управлять,,
wstręt,отвращение,,
wymyślić,придумать,,
radość,радость,,
wstyd,стыд,,
smutek,печаль,,
woda spada/biegnie,вода падает / бежит,,
skomplikowane,сложно,,
bez PIENIĘDZY,без денег,,
rondo drogowe,кольцевая дорога,,
statek,корабль,,
dyszka,10zl,,
dodają wszędzie,они добавляют везде,,
Niezłe,Неплохо,,
Świetne,Отлично,,
garnek,кастрюля,,
wieprzowina,свинина,,
brzuch,живот,,
brytyjscy naukowcy,британские ученые,,
udowodnić,доказать,,
trzymać dietę,придерживаться диеты,,
ogień,огонь,,
zanim,прежде чем,,
kocię,котенок,,
gniazdo z małymi pisklętami,гнездо с маленькими птенцами,,
schronisko,приют,,
kruk,ворон,,
futro,мех,,
wolno,медленно,,
W godzinach szczytu,В часы пик,,
hodować,выращивать,,
odpowiedzialność,ответственность,,
spoczywa duża odpowiedzialność,большая ответственность лежит,,
niewolnictwo,рабство,,
uchwyt,держатель,,
ufać,доверять,,
martwić się,беспокоиться,,
W rzeczywistości,На самом деле,,
w nowej rzeczywistości,в новой реальности,,
Uprzedzenie,Предубеждение,,
wsparcie,поддержка,,
zaradzić,справиться,,
spore środki,значительные средства,,
obecnie,в настоящее время,,
wrzątek,кипяток,,
założyć,основать / одеть,,
zejść,спуститься,,
zabór,аннексия,,
gadatliwy,болтливый,,
brzmieć,звучать,,
przezroczysty,прозрачный,,
w kratkę,клетчатый,,
wąski,узкий,,
wydawać pieniądze,тратить деньги,,
Brać/wziąć,Взять,,
Obejrzę,Я посмотрю,,
patrzyć,смотреть,,
reperować i montować auta,ремонт и монтаж автомобилей,,
Rodzaj sportu,Вид спорта,,
Schudnąć,Похудеть,,
Przytyć,Поправиться,,
Zaskoczyć kogoś,Удивить кого-то,,
kiliszek,бокал,,
pod względem,с этой точки зрения,,
wewnętrzny,внутренний,,
bieganie,бег,,
siatkówka,волейбол,,
rodzić dziecko,родить ребенка ,,
nagle,вдруг,,
robiłem,я делал,,
mogłem,я мог,,
odblokowywać,разблокировать,,
zdecydowałem,я решил,,
korzyść,польза / выгода,,
zaoszczędzić,сэкономить,,
Skąd wiesz,Откуда ты знаешь,,
Jedziesz dokądś,Ты едешь куда-то,,
Na dworcu,На вокзале,,
wypoczywać,отдыхать,,
nocować,ночевать,,
pasować,подходить,,
miejscówka,плацкарт,,
stolica,столица,,
kamienica,каменный дом,,
mur,стена,,
szczyt,пик,,
jezioro,озеро,,
cegła,кирпич,,
ziomeczka,дружище,,
kumpel,приятель,,
farbować,окрашивать,,
świętować,праздновать,,
dostanę,я получу,,
dostać,получить,,
zapisać się,записаться,,
pójść,пойти,,
zdecydować się na coś,решиться на что-то,,
wybrać,выбрать,,
przytulny,уютный,,
dziś,сегодня,,
od dziś,с сегодняшнего дня,,
szczęście,счастье,,
sztuka,искусство,,
wycieczka,экскурсия,,
z mojego zdania,по моему мнению,,
w rogu,в углу,,
Nie zastanawiłam się, Я не задумывалась,,
przytulać,обнимать / прислонить,,
zejść ,спуститься / выйти,,
ubrania ,одежда,,
kiepski,плохой,,
zajebisty ,обалденный,,
cechy,характеристики,,
park rozrywki,парк с аттракционами,,
kondolencje,соболезнования,,
zachęta,стимул,,
praktycznie,практически,,
prawie,почти,,
według mnie,по моему мнению,,
osiągnięcia,достижения,,
nieuczciwy,несправедливый,,
kierunek,направление,,
nie radzą sobie,они не могут справиться,,
dolegliwości,недуги,,
jak najbardziej,конечно,,
martwić się,волноваться,,
to jest tego warte,это стоит того,,
wcześniej robiłem to ...,я делал это раньше...,,
w pełni,полностью,,
fascynujące,очаровательно,,
narzekać,жаловаться,,
my do siebe chodzimy,мы ходим друг к другу,,
w wieku dojrzałym,в зрелом возрасте,,
sprawozdanie,отчет,,
streszczenie,краткое содержание,,
artykuł o nowej restauracji,o а не pro,,
pech,невезение,,
według,в соответствии с,,
obchodzić,праздновать,,
niespodzianka,сюрприз,,
występ na scenie,выступление на сцене,,
piwnica,подвал,,
trwać,длиться,,
zaadoptować,усыновить,,
zespół,команда,,
przestrzeń,космос,,
zależy mi na,мне не все равно на,,
angażować,привлекать,,
wolę kawę,Я предпочитаю кофе,,
wydawać pieniądze,тратить деньги,,
wspaniale,отлично,,
wcześnie,рано / в начале дня (в начале чего-то),,
wyjątkowo,исключительно,,
zwłaszcza,особенно,,
potrafić,быть способным,,
czynić,делать,,
fabula,сюжет,,
zestaw,набор,,
zbyt,слишком,,
niezbyt,не очень,,
osiągnąć,достигать,,
zdanie,предложение (языковая конструкция) / мнение,,
szczerze,честно,,
rozpraszać,отвлекать,,
warga,губа,,
zanim pójdzie,прежде чем он уйдет,,
nieraz,иногда,,
konfliktowy człowiek/konfliktowi ludzie,конфликтный человек/люди,,
unikać,избегать,Czy zawsze jesteśmy w stanie uniknąć konfliktu?,
mieć szacunek do siebie nawzajem,иметь уважение друг к другу,,
te emocje (one są),,,
"oponent, przeciwnik (synonimy)",,,
osoba winna/niewinna w konflikcie,,,
milczeć,молчать,,
wątpliwość,сомнение,,
wątpienie,сомнения,,
kopiuj/wklej,копировать вставить,,
tłumacz/translator,переводчик,,
oczywiście,конечно,,
słodko-kwaśny,кисло-сладкий,,
surowy,сырой,,
akademik,общежитие,,
Przybliżony koszt,,,
z Korei- koreańskie,,,
Medycyna ratunkowa,Неотложная медицинская помощь,,
ambulans,машина скорой помощи,,
"997- policja, 998- straż pożarna, 999- pogotowie (скорая)",,,
112- ogólny numer,,,
dzwonić na pogotowie,звонить в скорую,,
narządy / organy,органы,,
pionowy,вертикальный,,
wygodny,комфортный / удобный,,
zysk,выгодный,,
Przesądy,Суеверия,,
zaskoczony,удивлен,,
znaki zodiaku,,,
myśleć stereotypowo,,,
jestem rozczarowany kim/czym,,,
od czasu do czasu,,,
pechowy,несчастливый,,
przeciętny,средний / обычный,przeciętny dzień w wieku 30 lat,
głupi,глупый,Mój kot jest głupi,
tchórz,трус,,
kask,шлем,kask rowerowy,
pilot,пилот / пульт,pilot samolotu / pilot do telewizora,
schody,лестница (со ступеньками),,
drabina,лестница (типо стремянки),wspina się po drabinie,поднимается по лестнице
bałagan,беспорядок,bałagan = przeciwieństwo porządku,
rodzynek w cieście,"mężczyznę, który znajduje się w towarzystwie złożonym z samych kobiet",,
odwaga,храбрость,,
wahać się,сомневаться,,
przecinek,запятая,,
przeprowadza sondaże,проводит опросы,,
uczestniczyć,участвовать,,
włóczykij (pozytywnie),бродяга,,
włóczęga (negatywnie),бродяга,,
powsinoga,бездельник,,
ale ostatnimi czasy = ostatnio,,,
film ma 100 wyświetleń,у видео 100 просмотров,,
wyświetlają film w kinie,показывают фильм в кинотеатре,,
nie dotarły,не пришли,,
rozrywka,развлечение,,
przyciągać,привлекать,,
chytry,хитрый,,
zamglony = rozmyty = blurred,,,
zmarszczki,морщины,on jest pomarszczony,
kawaler / panna,,,
żonaty / mężatka,,,
wdowiec / wdowa,,,
rozwodnik / rozwódka,,,
udany,успешный,,
opozycjonista,оппозиционер,opozycyjne poglądy,
rząd,правительство,,
więzienie,тюрьма,,
popierać,поддерживать,,
uschnie / igły odpadną,завянет / опадут иголки,,
smętny,печальный,,
pomyślność,процветание,,
chrzciny,крещение,,
słony śledź,соленая селедка,,
zupa w kartonie,суп в пачке,,
budzi nieprzyjemne skojarzenia,вызывает неприятные ассоциации,,
ośći,рыбьи кости,,
kość,кость,,
zasugerować,предлагать,,
temperatura ujemna,отрицательная температура,,
nie ma chmur,нет облаков,,
skill = umiejętności,,,
mdłości,тошнота,,
gatunek,разновидность,,
szkoła podstawowa = podstawówka,до 8го класса (среднее образование),,
pełen etat - 8 godzin dziennie,полный рабочий день - 8 часов в день,,
pazerność,жадность,,
wydajny,эффективный,,
wykopali duży dół,они вырыли большую яму,,
odporność,сопротивление / иммунитет,,
bambusowy kij,бамбуковая палка,,
zasiłek,пособие,,
sprawy bieżące,,,
zasoby,ресурсы,,
syn marnotrawny,блудный сын,,
kolce,шипы,,
ogon,хвост,,
obroża,ошейник (у собак),,
skrzydełka,крылья,,
frajer,naiwna osoba,,
strych,чердак,,
prowizorka,временная мера,,
sęp,стервятник,,
sępić,"wyłudzać, żebrać coś od kogoś, szczególnie pieniądze, lub skąpić czegoś komuś",,
kwestia zasad,дело принципа,,
rekin,акула,,
na dwór,(выходить) во двор,,
udogodnienia,удобства,,
przychodnia publiczna,государственная клиника,,
wiercić,сверлить,,
usunąłem ząb = wyrwałem ząb,,,
praca w fabryce,работать на заводе,,
przepuszczać pieniądze,тратить деньги,,
wąchać,нюхать,,
zapach,запах,,
pamiątki,сувениры,,
e-mail [i-mejl],,,
prognoza pogody,,,
leje = bardzo pada,,,
kropi = troszeczkę pada,,,
przez jakiś czas / przez jakiś okres,,,
żółw -> tych żółwi,,,
uraz,травма,,
wyginąć -> grozi wyginięcie,вымереть -> под угрозой исчезновения,,
dziewicza przyroda = przyroda niezmieniona przez człowieka,"девственная природа = природа, не тронутая человеком",,
zahartowany,закаленный,,
wszyscy byli zdziwieni,все были удивлены,,
bardzo pijany = narąbany = nachlany = najebany,,,
ściągnąć / pobrać,скачать,,
ciekawy,интересный,,
krawiec - szyje odzież,,,
szewc,сапожник,szewc bez butów chodzi,
nie śmierdzi,не воняет,,
szybciej,быстрее,,
dużo więcej czasu,гораздо больше времени,,
bardziej skomplikowana,,,
składać jakieś meble,,,
paznokcie,ногти,,
pazury,когти,,
pszczoła,пчела,,
dopiero się obudziłam,я только что проснулся,,
"zadupie = bardzo daleko, gdzie nic nie ma",,,